id;Model;Year;Region;Color;Fuel_Type;Transmission;Engine_Size_L;Mileage_KM;Price_USD;Sales_Volume;Sales_Classification
41;i3;2024;Middle East;Red;Petrol;Automatic;35;135958;69578;173;Low
42;M5;2019;South America;White;Diesel;Manual;31;192690;37177;5946;Low
43;X5;2021;Africa;Red;Diesel;Manual;34;99697;60278;2913;Low
44;X5;2021;Middle East;Black;Petrol;Automatic;43;44279;96256;7627;High
45;X5;2024;South America;Black;Hybrid;Manual;36;111661;82675;2155;Low
46;i8;2023;Europe;Blue;Diesel;Automatic;38;78573;118317;7168;High
47;i3;2023;North America;Silver;Petrol;Automatic;49;94453;79039;8283;High
48;5 Series;2024;Asia;Blue;Electric;Manual;37;157789;86855;648;Low
49;X6;2023;Africa;White;Hybrid;Automatic;28;84367;112542;7933;High
50;i3;2012;Asia;White;Hybrid;Manual;39;193905;93508;8438;High
51;X3;2021;Asia;Silver;Hybrid;Automatic;38;57759;119692;6782;Low
52;M3;2016;Africa;Black;Hybrid;Manual;15;113832;49278;3153;Low
53;i8;2013;Middle East;White;Petrol;Manual;31;42427;44269;5887;Low
54;i3;2018;South America;Red;Petrol;Manual;41;1428;46127;608;Low
55;i8;2012;Middle East;Red;Diesel;Automatic;32;110845;100747;3291;Low
56;M5;2014;South America;Red;Electric;Automatic;42;125379;96739;3754;Low
57;X5;2012;Middle East;Black;Petrol;Manual;31;107014;57537;4125;Low
58;X6;2016;South America;Silver;Hybrid;Automatic;49;180186;46263;9762;High
59;M3;2014;Europe;Red;Electric;Manual;25;74474;65464;9390;High
60;3 Series;2018;Africa;Black;Electric;Manual;18;117061;54762;3293;Low
61;M3;2016;South America;Grey;Electric;Automatic;30;102675;93915;9470;High
62;X6;2011;Middle East;Blue;Diesel;Automatic;34;27706;117237;5425;Low
63;i8;2013;South America;Black;Diesel;Manual;27;150761;34193;425;Low
64;X6;2018;Asia;Red;Electric;Manual;23;10027;89970;4935;Low
65;3 Series;2021;North America;Black;Hybrid;Automatic;39;87632;65089;660;Low
66;3 Series;2023;Europe;Black;Electric;Manual;28;128295;86402;4266;Low
67;M3;2011;Asia;Red;Diesel;Automatic;37;40915;44322;2191;Low
68;X3;2019;Asia;Silver;Electric;Automatic;42;88705;111352;1932;Low
69;7 Series;2018;Middle East;Blue;Petrol;Manual;42;94859;50620;6962;Low
70;3 Series;2019;South America;Silver;Hybrid;Manual;28;193021;44950;1703;Low
71;X6;2014;Europe;Grey;Diesel;Manual;35;178427;101523;8589;High
72;5 Series;2011;Middle East;Red;Hybrid;Automatic;31;139212;31815;2011;Low
73;7 Series;2013;Asia;Red;Hybrid;Manual;45;144832;118363;1564;Low
74;i3;2021;South America;Red;Electric;Manual;46;107985;43355;945;Low
75;X1;2024;Europe;Red;Petrol;Automatic;27;24141;84346;4289;Low
76;i3;2021;North America;Silver;Electric;Automatic;18;112862;66155;3748;Low
77;X1;2016;Europe;Black;Petrol;Manual;21;37975;101753;3476;Low
78;X3;2021;North America;Grey;Electric;Manual;28;75480;68274;5759;Low
79;X3;2022;Middle East;Grey;Petrol;Manual;35;52217;78144;9420;High
80;M3;2017;North America;Grey;Hybrid;Automatic;38;24291;87604;9797;High
81;M5;2024;North America;Black;Diesel;Manual;27;143885;90388;7944;High
82;7 Series;2012;South America;Silver;Petrol;Manual;38;93073;102551;6709;Low
83;7 Series;2023;North America;Grey;Diesel;Automatic;48;64153;117121;4823;Low
84;X6;2010;Europe;Red;Hybrid;Manual;38;128477;68106;1048;Low
85;i8;2013;Middle East;Grey;Petrol;Manual;21;119491;78729;9545;High
86;M5;2011;North America;Grey;Hybrid;Automatic;35;94375;71912;2167;Low
87;M5;2017;South America;White;Petrol;Manual;34;190609;94286;3140;Low
88;X6;2013;South America;White;Hybrid;Manual;45;94915;50923;7821;High
89;i8;2011;Middle East;Grey;Diesel;Automatic;27;144698;37887;2085;Low
90;X3;2023;Europe;Red;Hybrid;Manual;30;12922;101473;8030;High
91;i8;2015;Middle East;Black;Electric;Manual;36;46176;96965;5409;Low
92;X5;2015;Middle East;Black;Hybrid;Automatic;33;121271;76799;4367;Low
93;X3;2019;North America;Silver;Hybrid;Automatic;40;189804;119927;1472;Low
94;i3;2013;Africa;Black;Diesel;Manual;16;192509;72385;455;Low
95;i3;2015;Asia;Silver;Electric;Manual;35;68161;63696;7218;High
96;X6;2022;Asia;White;Electric;Manual;19;182027;35951;3389;Low
97;X5;2024;Asia;Blue;Hybrid;Automatic;26;120597;95900;8581;High
98;i8;2011;Europe;Red;Hybrid;Automatic;38;184765;44846;1431;Low
99;X5;2019;Africa;Blue;Electric;Manual;21;161177;95908;2775;Low
100;X1;2021;Asia;Silver;Diesel;Manual;26;84621;119897;4601;Low
101;3 Series;2011;Middle East;Red;Hybrid;Automatic;40;22280;55612;6698;Low
102;M5;2019;Europe;Black;Diesel;Manual;38;127689;72188;6056;Low
103;i3;2023;Africa;Grey;Hybrid;Manual;18;73990;89587;6301;Low
104;M5;2013;Asia;Red;Diesel;Automatic;35;17838;46231;8734;High
105;X1;2023;Middle East;Silver;Diesel;Manual;20;172729;85801;8644;High
106;7 Series;2024;North America;Grey;Electric;Manual;24;80659;92213;5456;Low
107;7 Series;2024;Africa;Blue;Diesel;Automatic;31;132686;42013;8472;High
108;i8;2017;Asia;Grey;Petrol;Automatic;19;146940;50942;5940;Low
109;7 Series;2023;Europe;Red;Electric;Manual;50;50602;83812;2241;Low
110;7 Series;2016;Africa;Grey;Petrol;Automatic;21;49521;93993;8663;High
111;X3;2021;Africa;Blue;Electric;Automatic;42;169825;30158;8293;High
112;i8;2018;Europe;Black;Petrol;Automatic;44;193467;102279;8445;High
113;i3;2023;North America;Silver;Electric;Manual;50;190643;36081;190;Low
114;7 Series;2017;Middle East;Grey;Petrol;Automatic;30;112754;93431;7462;High
115;M3;2014;Middle East;Blue;Diesel;Manual;46;42711;40950;8339;High
116;i8;2022;South America;Grey;Diesel;Automatic;49;103105;66212;4055;Low
117;5 Series;2011;Europe;White;Petrol;Automatic;21;146963;90224;3683;Low
118;3 Series;2024;South America;Grey;Hybrid;Automatic;32;144152;49557;1180;Low
119;X6;2014;Europe;Blue;Diesel;Automatic;17;105592;100663;9100;High
120;X5;2017;South America;Grey;Petrol;Manual;37;31779;83059;6844;Low
121;M5;2019;Asia;Blue;Petrol;Manual;35;154626;45389;8882;High
122;X6;2018;North America;Red;Diesel;Automatic;22;162862;36520;2914;Low
123;3 Series;2021;Africa;Grey;Diesel;Manual;43;170208;40194;4548;Low
124;5 Series;2021;Asia;Blue;Electric;Manual;16;140059;82668;271;Low
125;X3;2021;Middle East;Grey;Electric;Automatic;43;63050;107348;2451;Low
126;7 Series;2022;North America;Silver;Petrol;Automatic;16;123623;52099;4212;Low
127;X5;2018;Middle East;Black;Petrol;Manual;38;159629;117084;3275;Low
128;M3;2022;Asia;Blue;Diesel;Manual;18;189688;38811;7337;High
129;X6;2024;North America;White;Petrol;Manual;24;120004;109733;8345;High
130;X3;2022;Asia;Black;Diesel;Manual;40;160878;53997;2162;Low
131;i8;2010;North America;White;Electric;Automatic;25;75457;101282;8396;High
132;5 Series;2018;Middle East;Grey;Petrol;Automatic;33;45371;87345;1299;Low
133;X5;2016;Europe;Silver;Petrol;Automatic;47;182118;64095;3880;Low
134;X6;2018;Europe;Silver;Hybrid;Manual;17;10316;117764;5637;Low
135;X5;2017;South America;Red;Petrol;Automatic;43;169491;40275;8394;High
136;X6;2010;Africa;Silver;Petrol;Manual;17;176650;33796;5935;Low
137;7 Series;2021;South America;Blue;Petrol;Automatic;19;68969;111071;5908;Low
138;X6;2017;South America;Red;Hybrid;Manual;19;111235;39627;3147;Low
139;M5;2017;Asia;Blue;Diesel;Manual;50;51891;103316;1732;Low
140;i3;2024;South America;White;Hybrid;Automatic;21;197241;106619;719;Low
141;i3;2020;South America;Grey;Hybrid;Automatic;46;47754;36666;1460;Low
142;M5;2012;Europe;Black;Electric;Manual;50;86899;56202;3235;Low
143;M5;2010;South America;White;Diesel;Manual;28;121393;108152;7139;High
144;i3;2017;North America;Silver;Hybrid;Manual;37;70038;102447;2694;Low
145;X5;2012;North America;White;Petrol;Automatic;42;172752;85983;3403;Low
146;i3;2012;Africa;Blue;Petrol;Automatic;29;93629;99958;8216;High
147;3 Series;2010;Asia;Black;Petrol;Manual;21;107572;86660;8650;High
148;3 Series;2020;North America;Silver;Hybrid;Automatic;30;158046;78509;8070;High
149;X6;2014;Middle East;Black;Electric;Automatic;42;3374;84798;169;Low
150;5 Series;2019;South America;Red;Hybrid;Manual;42;132625;88464;6353;Low
151;i3;2016;North America;Black;Petrol;Manual;23;91458;33185;8634;High
152;M5;2019;Europe;Red;Hybrid;Automatic;21;252;66606;1684;Low
153;7 Series;2018;Middle East;Black;Electric;Automatic;47;38502;85604;5312;Low
154;M3;2021;North America;Grey;Diesel;Manual;17;54226;116198;7059;High
155;X1;2016;Africa;Grey;Petrol;Manual;41;172950;119996;9620;High
156;3 Series;2018;Asia;White;Hybrid;Automatic;17;19899;50651;8157;High
157;7 Series;2017;Europe;White;Petrol;Manual;44;185687;106473;8666;High
158;X1;2021;Africa;Red;Hybrid;Automatic;47;190652;41920;2600;Low
159;5 Series;2011;Europe;Black;Diesel;Automatic;25;116859;103384;9334;High
160;5 Series;2010;Europe;Red;Petrol;Manual;18;194101;34120;1344;Low
161;5 Series;2016;Europe;Silver;Petrol;Manual;32;167770;119412;8291;High
162;X3;2016;South America;Blue;Diesel;Manual;25;143519;34749;7553;High
163;M5;2023;Asia;Red;Electric;Manual;30;130509;94884;9645;High
164;3 Series;2017;Europe;Grey;Petrol;Manual;38;89365;86684;9474;High
165;X3;2014;Middle East;Black;Petrol;Manual;22;80167;60899;8000;High
166;5 Series;2012;Asia;Red;Diesel;Automatic;27;124260;39501;6584;Low
167;7 Series;2021;Europe;Black;Diesel;Automatic;42;83191;60731;6249;Low
168;i8;2017;Middle East;Grey;Petrol;Manual;38;110899;71690;1697;Low
169;i3;2015;Middle East;Red;Diesel;Manual;26;67021;58894;6072;Low
170;3 Series;2020;South America;Black;Electric;Automatic;38;55451;79774;1142;Low
171;7 Series;2012;North America;Silver;Hybrid;Automatic;42;178603;42764;9856;High
172;i3;2010;Africa;Blue;Petrol;Manual;36;91061;45834;7607;High
173;X3;2012;North America;White;Diesel;Automatic;23;121703;116468;8333;High
174;M5;2014;Africa;Red;Petrol;Manual;15;88800;59448;3877;Low
175;3 Series;2024;Africa;Grey;Electric;Manual;43;69653;113482;4956;Low
176;X5;2023;South America;Black;Diesel;Manual;44;183143;86846;5598;Low
177;X1;2012;Europe;Silver;Electric;Manual;39;63716;74494;6791;Low
178;i3;2010;Africa;Blue;Diesel;Manual;18;120482;101137;968;Low
179;X1;2014;South America;Blue;Hybrid;Automatic;35;148268;109617;8217;High
180;3 Series;2019;Africa;Silver;Electric;Manual;44;33051;108637;5548;Low
181;M5;2016;Asia;Silver;Diesel;Automatic;29;163812;88181;148;Low
182;3 Series;2024;South America;Blue;Hybrid;Automatic;22;69698;79650;6447;Low
183;X3;2023;South America;White;Petrol;Automatic;36;156141;51627;6673;Low
184;X5;2016;North America;Silver;Hybrid;Automatic;44;118309;99967;8127;High
185;X6;2020;Europe;Silver;Diesel;Automatic;17;64180;32120;9970;High
186;i3;2018;Asia;Blue;Hybrid;Manual;36;198246;91547;9832;High
187;X1;2024;Asia;Grey;Hybrid;Automatic;38;198285;102818;3880;Low
188;5 Series;2024;Middle East;Grey;Petrol;Manual;36;120789;49279;9951;High
189;5 Series;2019;Middle East;Black;Petrol;Automatic;38;178723;36571;7403;High
190;i8;2019;Middle East;Silver;Diesel;Manual;37;124371;96066;8537;High
191;X3;2021;Europe;Blue;Hybrid;Manual;20;126258;32119;4249;Low
192;7 Series;2022;Middle East;Blue;Diesel;Automatic;23;126953;57691;271;Low
193;3 Series;2012;South America;Blue;Petrol;Manual;37;78678;96429;6974;Low
194;X1;2024;Middle East;Grey;Electric;Manual;16;190540;112644;2922;Low
195;X1;2016;Africa;Red;Petrol;Automatic;37;70187;49010;3433;Low
196;X5;2010;Asia;White;Petrol;Automatic;38;35565;39793;6620;Low
197;3 Series;2013;South America;Black;Electric;Automatic;23;173100;101189;1476;Low
198;3 Series;2022;South America;Red;Electric;Automatic;36;68978;107968;4129;Low
199;i3;2013;Asia;Black;Petrol;Automatic;34;115144;51327;9128;High
200;3 Series;2023;Asia;Grey;Diesel;Manual;24;58991;84635;3507;Low
201;X1;2014;Europe;Blue;Hybrid;Manual;31;48040;77484;9106;High
202;3 Series;2016;Europe;White;Electric;Automatic;47;149253;71328;3222;Low
203;X5;2016;Africa;White;Electric;Manual;30;146541;72024;9331;High
204;X5;2022;Africa;White;Electric;Automatic;37;123227;72436;5761;Low
205;i3;2024;Middle East;Blue;Diesel;Manual;16;17798;93997;6920;Low
206;5 Series;2020;South America;Blue;Electric;Manual;18;18642;53862;6897;Low
207;X3;2022;Africa;Black;Petrol;Manual;18;10590;105924;5139;Low
208;M5;2013;North America;Grey;Petrol;Manual;42;31068;62719;1396;Low
209;X3;2022;Europe;Black;Petrol;Manual;27;197678;49919;491;Low
210;3 Series;2016;Africa;Black;Petrol;Automatic;23;189931;71591;6640;Low
211;X5;2020;Europe;Blue;Diesel;Manual;41;127392;86328;8960;High
212;X1;2012;Middle East;White;Electric;Automatic;21;180074;42552;5542;Low
213;3 Series;2015;Europe;Red;Hybrid;Manual;24;191042;89156;7342;High
214;X1;2021;South America;Grey;Diesel;Automatic;30;37616;79927;1057;Low
215;M3;2011;South America;White;Petrol;Automatic;27;75468;39495;7431;High
216;M5;2019;Europe;Red;Petrol;Automatic;35;46076;38271;6150;Low
217;X3;2022;North America;Grey;Electric;Manual;27;21607;74435;9536;High
218;X3;2023;Asia;Blue;Petrol;Automatic;29;87564;103988;5141;Low
219;M3;2018;Asia;Silver;Electric;Manual;45;66023;73953;1659;Low
220;X3;2014;South America;White;Hybrid;Manual;46;195047;106673;4699;Low
221;M3;2015;Africa;Blue;Diesel;Manual;44;152887;42738;6588;Low
222;X3;2021;Asia;Grey;Hybrid;Manual;45;122956;53097;1474;Low
223;X6;2021;South America;Blue;Petrol;Automatic;35;27659;60936;2428;Low
224;3 Series;2021;Asia;White;Hybrid;Manual;38;157700;87186;5065;Low
225;5 Series;2021;Asia;Black;Diesel;Automatic;35;133836;38861;9087;High
226;3 Series;2013;Asia;Silver;Hybrid;Automatic;42;10678;33086;5817;Low
227;X1;2023;Asia;White;Hybrid;Automatic;34;84606;89868;3445;Low
228;X5;2023;Asia;Silver;Electric;Automatic;19;34635;87087;3372;Low
229;i8;2020;North America;Blue;Electric;Manual;43;191305;70057;7327;High
230;X3;2019;Middle East;Grey;Electric;Manual;42;17934;111173;808;Low
231;X1;2016;Middle East;Blue;Diesel;Automatic;44;157249;56309;3076;Low
232;X1;2021;North America;Grey;Petrol;Automatic;22;184417;76909;6636;Low
233;7 Series;2018;Asia;Red;Hybrid;Manual;25;31798;58752;3606;Low
234;i8;2016;North America;Blue;Hybrid;Manual;25;145112;82447;1206;Low
235;X1;2023;Asia;Silver;Petrol;Manual;33;66862;80705;7058;High
236;i8;2010;South America;Red;Hybrid;Automatic;20;49903;92666;9368;High
237;7 Series;2010;Asia;White;Petrol;Automatic;28;28668;65268;2069;Low
238;i8;2018;Asia;Red;Petrol;Manual;21;61031;116846;6121;Low
239;X6;2020;South America;Blue;Diesel;Automatic;24;135437;114860;9792;High
240;X5;2023;North America;Blue;Hybrid;Manual;40;83959;43850;9612;High
241;7 Series;2018;Africa;Silver;Electric;Manual;45;198286;96859;8022;High
242;X6;2013;Asia;Red;Petrol;Automatic;16;74914;107293;3205;Low
243;M5;2022;North America;Black;Petrol;Automatic;35;56293;58700;249;Low
244;X3;2018;Africa;Silver;Hybrid;Automatic;16;60574;62253;7350;High
245;X1;2012;North America;Black;Electric;Manual;18;80289;100980;3581;Low
246;M5;2016;North America;Silver;Electric;Automatic;40;67272;78120;381;Low
247;M5;2015;North America;White;Petrol;Manual;41;54534;94839;3880;Low
248;3 Series;2017;North America;Blue;Petrol;Manual;43;86002;100678;2815;Low
249;5 Series;2020;Europe;Blue;Diesel;Manual;32;165669;38170;9239;High
250;X1;2018;Africa;White;Petrol;Automatic;45;104441;79035;1036;Low
251;3 Series;2023;South America;White;Petrol;Automatic;21;190846;56836;5315;Low
252;M3;2014;Africa;Black;Hybrid;Manual;24;180096;33093;2976;Low
253;X3;2010;North America;Black;Electric;Manual;20;191879;50319;1311;Low
254;X1;2012;Africa;White;Electric;Automatic;43;185093;108905;5952;Low
255;i8;2019;Africa;Silver;Hybrid;Manual;23;187214;31212;3778;Low
256;3 Series;2021;South America;Black;Electric;Automatic;20;162323;72641;4298;Low
257;5 Series;2017;Europe;Silver;Electric;Manual;37;69712;82957;8127;High
258;M3;2024;Africa;White;Hybrid;Manual;18;2655;91248;8772;High
259;X3;2020;Asia;Silver;Hybrid;Manual;17;66746;113110;3430;Low
260;i3;2015;Asia;Red;Diesel;Manual;19;90245;34249;8483;High
261;7 Series;2017;North America;White;Hybrid;Manual;15;7334;77120;6825;Low
262;X1;2018;Asia;Black;Hybrid;Manual;39;13275;79969;9134;High
263;X1;2013;South America;Blue;Hybrid;Manual;35;128136;101839;125;Low
264;X5;2010;Africa;Black;Diesel;Automatic;22;187108;105887;5236;Low
265;X5;2023;South America;White;Diesel;Manual;23;162977;31112;2466;Low
266;7 Series;2010;South America;Black;Petrol;Manual;43;52940;51743;4350;Low
267;X1;2019;Europe;White;Hybrid;Automatic;33;106294;102607;7920;High
268;i8;2013;Europe;Red;Diesel;Manual;39;106314;113159;113;Low
269;M3;2021;Asia;Blue;Diesel;Automatic;31;139850;34852;2275;Low
270;7 Series;2023;Asia;Blue;Diesel;Automatic;23;52061;96938;1714;Low
271;X5;2016;North America;White;Petrol;Manual;49;88027;103663;9847;High
272;3 Series;2011;Asia;Blue;Diesel;Automatic;35;196822;74108;4182;Low
273;M5;2012;Asia;Black;Electric;Automatic;20;65212;48461;3244;Low
274;X3;2010;Middle East;Red;Diesel;Automatic;29;35130;113525;6461;Low
275;M3;2014;Europe;Blue;Hybrid;Automatic;27;129742;111245;9520;High
276;X3;2010;South America;Blue;Electric;Automatic;22;73482;61329;4579;Low
277;X5;2017;Africa;Silver;Petrol;Automatic;48;32268;68638;7530;High
278;X5;2010;North America;Grey;Diesel;Manual;46;53211;116928;9850;High
279;M3;2020;South America;Grey;Petrol;Manual;22;154481;100103;9122;High
280;7 Series;2010;South America;Silver;Hybrid;Manual;27;147526;35576;1916;Low
281;X1;2011;South America;Blue;Diesel;Manual;42;183658;52709;3813;Low
282;i3;2011;North America;Grey;Electric;Automatic;22;131725;73410;6205;Low
283;M5;2021;South America;Black;Electric;Manual;36;50949;40782;6688;Low
284;i3;2015;Europe;Grey;Electric;Manual;39;20717;79002;1402;Low
285;5 Series;2016;Middle East;Silver;Petrol;Manual;38;135036;38344;8273;High
286;M3;2014;Europe;White;Petrol;Manual;40;29746;103056;7577;High
287;M3;2010;Europe;Black;Hybrid;Manual;40;87426;60458;9098;High
288;M5;2010;Europe;Red;Diesel;Manual;49;28560;32486;4427;Low
289;X5;2012;North America;White;Diesel;Manual;27;68627;65633;9311;High
290;3 Series;2023;Africa;Black;Petrol;Manual;46;95366;101460;3182;Low
291;i3;2011;Africa;White;Diesel;Manual;16;97680;115240;5797;Low
292;X3;2014;Africa;Red;Diesel;Manual;25;198457;114845;577;Low
293;i3;2021;Europe;White;Hybrid;Automatic;17;129001;105938;3288;Low
294;X3;2019;South America;Red;Electric;Manual;38;171481;42383;7041;High
295;i8;2015;Africa;Red;Diesel;Manual;19;60913;43439;5284;Low
296;i8;2016;Europe;Blue;Petrol;Manual;45;191604;59627;9454;High
297;5 Series;2013;Asia;Blue;Hybrid;Automatic;38;45722;74501;6935;Low
298;M3;2016;Middle East;Blue;Electric;Manual;16;38412;81786;5058;Low
299;3 Series;2020;South America;Grey;Diesel;Manual;40;175591;64007;7793;High
300;M3;2017;North America;Silver;Petrol;Manual;45;164356;36497;2353;Low
301;X6;2020;Asia;Black;Hybrid;Automatic;38;45712;90061;4643;Low
302;X1;2010;Africa;Grey;Diesel;Automatic;16;100516;49598;1252;Low
303;i3;2024;South America;White;Hybrid;Automatic;45;57231;47994;1675;Low
304;M5;2015;Asia;White;Petrol;Automatic;41;95889;52950;6177;Low
305;M5;2017;Middle East;Grey;Diesel;Automatic;28;55643;96914;4669;Low
306;i3;2014;South America;Grey;Diesel;Automatic;27;22417;98122;5178;Low
307;M5;2013;Asia;Silver;Diesel;Automatic;32;193534;70907;8254;High
308;M3;2011;South America;Grey;Petrol;Manual;45;137855;96941;6712;Low
309;i8;2015;Asia;Black;Hybrid;Automatic;24;6365;30074;2845;Low
310;M3;2015;North America;Grey;Electric;Automatic;19;167647;88780;4997;Low
311;3 Series;2020;Middle East;Red;Petrol;Manual;45;105037;73453;7286;High
312;i3;2024;South America;Blue;Hybrid;Manual;16;128016;107658;9124;High
313;X6;2010;Europe;White;Hybrid;Manual;47;7762;61914;5045;Low
314;X6;2018;South America;Grey;Diesel;Manual;26;40764;116735;4709;Low
315;i3;2021;Europe;Silver;Hybrid;Automatic;33;24238;111742;1482;Low
316;M5;2020;Africa;Grey;Petrol;Automatic;20;195911;64700;3134;Low
317;X3;2015;Middle East;Grey;Diesel;Automatic;47;134039;70672;6856;Low
318;3 Series;2022;Middle East;Silver;Petrol;Automatic;41;116572;47284;3730;Low
319;M3;2012;Europe;White;Diesel;Manual;47;194359;93837;8190;High
320;7 Series;2013;Africa;Red;Diesel;Manual;39;143864;74401;9067;High
321;3 Series;2021;South America;Grey;Hybrid;Automatic;21;37246;112265;5726;Low
322;7 Series;2020;Asia;White;Petrol;Automatic;26;188234;71570;3284;Low
323;i8;2013;Europe;White;Hybrid;Automatic;32;110079;70118;7254;High
324;i3;2012;Middle East;Silver;Petrol;Automatic;36;53579;80919;2377;Low
325;M5;2019;Asia;Blue;Hybrid;Automatic;47;164678;49840;1883;Low
326;3 Series;2012;South America;Silver;Petrol;Manual;28;137794;99478;520;Low
327;X1;2024;Europe;Grey;Diesel;Manual;40;87263;71666;8913;High
328;i3;2012;Africa;Red;Diesel;Manual;49;86785;99512;2353;Low
329;X3;2013;South America;Grey;Petrol;Manual;20;156944;55881;6169;Low
330;M5;2016;Africa;White;Diesel;Automatic;45;39593;109963;113;Low
331;X5;2013;Europe;White;Diesel;Automatic;30;162617;79299;2353;Low
332;i3;2018;Africa;Blue;Diesel;Manual;41;180348;46141;8132;High
333;X1;2010;Europe;Silver;Electric;Manual;25;97558;101553;1718;Low
334;3 Series;2017;Africa;Silver;Diesel;Manual;27;124960;115369;5481;Low
335;X6;2016;Europe;Black;Electric;Manual;16;28972;89763;7436;High
336;X5;2011;Europe;Blue;Petrol;Automatic;49;141616;117994;6327;Low
337;i3;2017;Asia;Black;Diesel;Manual;43;42089;99138;5415;Low
338;X5;2010;North America;Silver;Diesel;Manual;18;102510;107741;2737;Low
339;X1;2020;Europe;Grey;Petrol;Automatic;50;64144;39207;4488;Low
340;5 Series;2021;North America;Blue;Hybrid;Automatic;36;166252;52030;1849;Low
341;X5;2018;Asia;Black;Petrol;Manual;45;106246;72271;6300;Low
342;X1;2018;Europe;Black;Petrol;Manual;17;25059;42749;3108;Low
343;M3;2011;Africa;White;Hybrid;Manual;29;49603;80312;2792;Low
344;i3;2016;Middle East;Black;Hybrid;Manual;38;134173;89891;3901;Low
345;i3;2024;Asia;Red;Petrol;Manual;19;42153;62609;897;Low
346;i3;2023;Europe;Grey;Hybrid;Automatic;32;136858;54036;3108;Low
347;X6;2019;Africa;Grey;Hybrid;Manual;30;199006;116494;9003;High
348;3 Series;2012;Africa;Red;Electric;Automatic;23;190156;116827;9454;High
349;X6;2016;Africa;Grey;Petrol;Automatic;26;160714;115705;7064;High
350;5 Series;2021;North America;White;Petrol;Manual;49;128242;51552;4585;Low
351;7 Series;2019;North America;Silver;Hybrid;Automatic;25;40052;32230;4515;Low
352;i8;2018;Asia;Grey;Petrol;Manual;22;126505;92606;9586;High
353;i8;2013;Middle East;Silver;Hybrid;Automatic;34;149450;97301;9597;High
354;i8;2021;Africa;Black;Diesel;Manual;38;164473;102381;9156;High
355;5 Series;2010;South America;Red;Electric;Automatic;40;9951;39129;8440;High
356;3 Series;2011;North America;Grey;Hybrid;Automatic;41;146359;105042;2463;Low
357;i8;2010;South America;Red;Diesel;Manual;16;76908;48463;3398;Low
358;X6;2023;South America;Grey;Petrol;Automatic;29;167411;94959;8066;High
